ABC / RN vs. Náutico / PE
ABC / RN vs. Criciúma / SC
ABC / RN vs. Goiás / GO
ABC / RN vs. Guarani / SP
ABC / RN vs. Juventude / RS
ABC / RN vs. Londrina / PR
ABC / RN vs. Boa / MG
ABC / RN vs. Paysandu / PA
ABC / RN vs. CRB / AL
ABC / RN vs. Ceará / CE
ABC / RN vs. Santa Cruz / PE
ABC / RN vs. Figueirense / SC
ABC / RN vs. Vila Nova / GO
ABC / RN vs. Oeste / SP
ABC / RN vs. Brasil / RS
ABC / RN vs. Paraná / PR
ABC / RN vs. América / MG
ABC / RN vs. Luverdense / MT
ABC / RN vs. Internacional / RS
Náutico / PE vs. ABC / RN
Náutico / PE vs. Criciúma / SC
Náutico / PE vs. Goiás / GO
Náutico / PE vs. Guarani / SP
Náutico / PE vs. Juventude / RS
Náutico / PE vs. Londrina / PR
Náutico / PE vs. Boa / MG
Náutico / PE vs. Paysandu / PA
Náutico / PE vs. CRB / AL
Náutico / PE vs. Ceará / CE
Náutico / PE vs. Santa Cruz / PE
Náutico / PE vs. Figueirense / SC
Náutico / PE vs. Vila Nova / GO
Náutico / PE vs. Oeste / SP
Náutico / PE vs. Brasil / RS
Náutico / PE vs. Paraná / PR
Náutico / PE vs. América / MG
Náutico / PE vs. Luverdense / MT
Náutico / PE vs. Internacional / RS
Criciúma / SC vs. ABC / RN
Criciúma / SC vs. Náutico / PE
Criciúma / SC vs. Goiás / GO
Criciúma / SC vs. Guarani / SP
Criciúma / SC vs. Juventude / RS
Criciúma / SC vs. Londrina / PR
Criciúma / SC vs. Boa / MG
Criciúma / SC vs. Paysandu / PA
Criciúma / SC vs. CRB / AL
Criciúma / SC vs. Ceará / CE
Criciúma / SC vs. Santa Cruz / PE
Criciúma / SC vs. Figueirense / SC
Criciúma / SC vs. Vila Nova / GO
Criciúma / SC vs. Oeste / SP
Criciúma / SC vs. Brasil / RS
Criciúma / SC vs. Paraná / PR
Criciúma / SC vs. América / MG
Criciúma / SC vs. Luverdense / MT
Criciúma / SC vs. Internacional / RS
Goiás / GO vs. ABC / RN
Goiás / GO vs. Náutico / PE
Goiás / GO vs. Criciúma / SC
Goiás / GO vs. Guarani / SP
Goiás / GO vs. Juventude / RS
Goiás / GO vs. Londrina / PR
Goiás / GO vs. Boa / MG
Goiás / GO vs. Paysandu / PA
Goiás / GO vs. CRB / AL
Goiás / GO vs. Ceará / CE
Goiás / GO vs. Santa Cruz / PE
Goiás / GO vs. Figueirense / SC
Goiás / GO vs. Vila Nova / GO
Goiás / GO vs. Oeste / SP
Goiás / GO vs. Brasil / RS
Goiás / GO vs. Paraná / PR
Goiás / GO vs. América / MG
Goiás / GO vs. Luverdense / MT
Goiás / GO vs. Internacional / RS
Guarani / SP vs. ABC / RN
Guarani / SP vs. Náutico / PE
Guarani / SP vs. Criciúma / SC
Guarani / SP vs. Goiás / GO
Guarani / SP vs. Juventude / RS
Guarani / SP vs. Londrina / PR
Guarani / SP vs. Boa / MG
Guarani / SP vs. Paysandu / PA
Guarani / SP vs. CRB / AL
Guarani / SP vs. Ceará / CE
Guarani / SP vs. Santa Cruz / PE
Guarani / SP vs. Figueirense / SC
Guarani / SP vs. Vila Nova / GO
Guarani / SP vs. Oeste / SP
Guarani / SP vs. Brasil / RS
